63	213
63	214
14	215
15	216
15	217
47	216
47	217
48	218
49	219
50	218
27	220
27	234
6	221
68	222
68	223
72	224
73	221
211	225
158	226
158	227
162	228
162	229
162	230
8	231
66	221
64	231
17	232
18	228
18	233
28	235
28	236
29	216
29	237
75	238
75	239
75	221
30	236
30	216
30	237
76	239
76	221
76	243
5	240
13	237
4	237
19	241
9	242
11	237
20	236
12	220
12	236
21	235
31	236
31	216
31	237
22	235
22	220
32	220
32	241
33	242
33	236
34	220
35	235
35	236
38	237
38	241
39	235
39	220
39	241
40	236
40	237
77	235
77	221
41	234
41	237
78	244
78	221
56	218
56	245
55	218
55	245
52	218
52	245
79	221
80	246
80	221
3	240
82	247
82	221
81	248
81	221
46	215
46	249
83	221
62	250
62	214
65	221
67	250
67	223
23	220
23	236
84	251
84	221
70	221
10	252
10	221
26	235
26	234
16	239
16	221
86	252
86	251
86	221
85	251
85	221
24	237
69	250
69	219
7	233
36	235
36	220
36	236
37	220
37	236
25	235
25	234
42	234
42	237
43	234
43	237
44	234
44	237
45	234
45	237
88	253
88	254
88	255
88	256
1	217
51	219
51	223
87	257
87	222
87	255
57	218
57	245
58	213
58	214
59	250
60	258
61	258
61	259
2	260
156	226
156	227
157	226
157	227
105	261
105	262
159	226
159	227
160	226
160	227
107	261
107	249
107	218
106	261
106	263
108	261
108	264
109	261
109	263
110	261
110	249
110	218
111	261
111	264
113	261
113	264
114	261
114	264
163	228
163	229
117	261
117	265
118	261
118	265
164	228
164	229
165	227
119	261
119	249
119	245
120	261
120	249
120	245
121	261
121	249
121	245
122	261
122	249
122	245
166	220
166	227
124	261
124	249
124	245
125	261
125	249
125	245
167	220
167	227
168	235
168	227
169	235
169	227
170	227
171	227
175	266
175	268
175	269
129	267
176	270
177	268
177	269
132	267
132	271
178	266
178	275
134	261
134	267
134	271
135	267
135	272
136	271
136	272
137	267
137	271
137	272
138	273
138	271
139	274
139	273
139	271
179	276
127	274
127	273
127	272
123	261
123	277
128	274
128	273
128	272
180	278
181	268
126	274
126	273
126	272
130	267
130	271
131	267
131	271
133	267
133	271
115	261
115	226
116	261
116	226
112	261
112	226
140	227
140	229
141	227
141	229
145	235
145	227
145	229
145	230
146	236
146	227
146	229
146	230
147	236
147	227
147	229
147	230
148	237
149	227
149	229
149	237
150	228
150	227
151	228
151	227
152	228
152	227
153	228
153	227
153	230
142	228
142	227
154	227
154	229
154	237
154	279
155	228
155	227
155	279
144	235
144	227
144	229
144	230
182	268
183	280
185	281
186	269
186	276
187	269
187	276
188	270
189	275
190	282
191	270
192	281
212	283
194	283
174	275
172	280
173	228
173	227
173	229
173	279
143	227
143	230
96	284
96	285
99	284
99	287
195	286
197	283
198	288
200	289
201	225
196	289
91	215
92	215
94	290
95	291
95	292
89	253
89	255
89	256
90	253
93	254
97	293
97	294
98	295
98	293
100	293
100	294
101	295
101	293
102	215
102	253
102	256
103	290
104	253
104	255
104	256
184	296
161	228
161	229
161	230
53	221
71	221
202	297
202	289
204	298
204	289
205	286
205	299
206	283
206	286
206	300
208	301
208	286
208	300
208	299
207	283
210	301
199	289
209	288
54	218
54	245
203	302
203	289
74	238
74	221
74	303
193	304
193	286
193	305
