0	3
0	4
0	9
0	42
0	44
1	3
1	4
1	9
1	38
1	42
1	44
2	5
3	5
4	5
4	7
4	22
4	23
4	28
6	8
6	21
6	24
6	32
7	2
7	36
8	22
10	32
12	8
12	32
12	34
12	36
12	48
12	70
13	5
13	17
13	24
13	36
15	8
17	24
18	5
18	6
18	8
18	15
18	24
18	32
19	8
19	15
20	5
20	9
22	36
26	9
26	22
26	42
26	44
27	14
27	15
27	16
27	17
27	21
27	32
27	48
27	54
27	58
27	59
28	2
28	22
28	36
29	21
29	22
29	23
29	24
30	10
30	22
30	37
31	22
31	26
31	30
31	33
31	37
33	0
33	1
34	8
34	33
34	48
35	0
35	1
35	14
35	40
35	68
35	70
36	5
37	38
40	8
40	48
41	8
41	48
42	48
43	8
43	48
45	0
45	8
46	0
46	8
47	3
47	5
47	7
47	24
47	28
47	32
49	23
49	24
49	36
49	48
51	14
52	32
52	36
53	14
53	48
53	63
54	13
54	50
55	14
56	14
56	48
57	14
57	48
57	76
58	13
58	14
58	16
58	48
59	14
60	14
60	16
61	14
61	16
62	14
62	48
63	14
63	48
65	14
65	48
66	13
66	17
66	23
66	24
67	14
67	65
67	68
68	13
68	14
68	15
68	16
68	17
68	56
69	12
69	13
69	14
69	48
69	55
69	57
69	67
69	68
70	14
75	12
75	14
75	57
76	14
76	56
76	63
77	42
80	32
80	48
81	32
81	48
83	13
83	14
83	48
84	85
85	13
85	14
85	70
88	56
88	57
88	63
88	76
89	73
91	14
91	48
91	58
91	60
92	14
92	48
92	58
92	60
